X1,Y1,X2,Y2
1,7,125,132
125,132,305,313
305,313,408,415
408,415,444,451
444,451,540,548
540,547,540,548
540,547,558,566
558,566,636,644
636,644,660,668
661,668,691,698
691,698,703,710
703,710,715,722
715,722,781,789
781,789,829,837
829,837,919,927
919,927,955,963
960,963,967,975
967,975,967,975
968,975,992,999
992,999,1154,1162
2351,8,2351,8
2351,7,2351,7
2351,6,2488,145
2488,144,2512,169
2512,168,2512,169
2512,168,2699,355
2699,355,2705,361
2705,361,2795,452
2795,452,2795,452
2795,452,2795,452
2795,452,2795,452
2795,452,2855,512
2855,512,2873,530
2873,530,2885,542
2885,542,2885,542
2885,542,2969,626
2969,626,2975,632
2980,632,3120,777
3120,777,3276,934
3277,933,3349,1006